Name,Class Allocated,Date of Birth,Father Name,Mother Name,Guardian Name,Contact Number,Email Address,Address
Siri Vemula,Pravesham,05/14/2021,Ramesh Vemula,Anitha Vemula,,919-555-1001,siri.vemula@email.com,123 Maple St, Cary, NC
Chaitanya Goud,Pravesham,08/22/2020,Krishna Goud,Padma Goud,,919-555-1002,chaitanya.goud@email.com,456 Oak Ave, Apex, NC
Harini Yadav,Pravesham,11/30/2019,Prasad Yadav,Deepa Yadav,,919-555-1003,harini.yadav@email.com,789 Pine Dr, Raleigh, NC
Rithvik Reddy,Pravesham,03/10/2021,Shiva Reddy,Manasa Reddy,,919-555-1004,rithvik.reddy@email.com,321 Elm St, Cary, NC
Saanvi Kanneganti,Pravesham,07/19/2020,Anil Kanneganti,Meena Kanneganti,,919-555-1005,saanvi.kanneganti@email.com,654 Cedar Rd, Apex, NC
Aadhya Chintala,Pravesham,09/25/2021,Praveen Chintala,Sunitha Chintala,,919-555-1006,aadhya.chintala@email.com,987 Birch Ln, Raleigh, NC
Yashwanth Gurram,Pravesham,12/02/2020,Naresh Gurram,Deepika Gurram,,919-555-1007,yashwanth.gurram@email.com,159 Spruce Ct, Cary, NC
Sravya Kotha,Pravesham,04/15/2021,Srinivas Kotha,Padmaja Kotha,,919-555-1008,sravya.kotha@email.com,753 Willow Way, Apex, NC
Anvi Pabbathi,Pravesham,06/28/2020,Praveen Pabbathi,Swapna Pabbathi,,919-555-1009,anvi.pabbathi@email.com,852 Aspen Pl, Raleigh, NC
Rohit Manda,Pravesham,01/11/2021,Harsha Manda,Geetha Manda,,919-555-1010,rohit.manda@email.com,951 Hickory Blvd, Cary, NC
Bhavana Jasti,Pravesham,03/22/2021,Ajay Jasti,Rekha Jasti,,919-555-1011,bhavana.jasti@email.com,222 Magnolia Dr, Apex, NC
Keerthi Pilla,Pravesham,05/30/2020,Satish Pilla,Meena Pilla,,919-555-1012,keerthi.pilla@email.com,333 Sycamore St, Cary, NC
